Reference, Value, Footprint, Datasheet, Description, Height, Manufacturer_Name, Manufacturer_Part_Number, Arrow Part Number, Arrow Price/Stock, Mouser Part Number, Mouser Price/Stock
"J1","MICROXNJ","my_lib:MICROXNJ","https://datasheet.lcsc.com/szlcsc/1912111437_SHOU-HAN-MicroXNJ_C404969.pdf","MICRO-USB-SMD_MICROXNJ","2.425","Shou Han","MICROXNJ","","","",""
"C1","CL10A106MQ8NNNC","my_lib:CAPC1608X90N","http://uk.rs-online.com/web/p/products/7664718","Samsung Electro-Mechanics 10uF Multilayer Ceramic Capacitor MLCC 6.3V dc +/-20% X5R Dielectric 0603 (1608M) SMD","0.9","Samsung Electro-Mechanics","CL10A106MQ8NNNC","CL10A106MQ8NNNC","https://www.arrow.com/en/products/cl10a106mq8nnnc/samsung-electro-mechanics","187-CL10A106MQ8NNNC","https://www.mouser.co.uk/ProductDetail/Samsung-Electro-Mechanics/CL10A106MQ8NNNC?qs=349EhDEZ59qlB6a%2FjjeGAg%3D%3D"
"L1","LQH32CN4R7M33L","my_lib:LQH32DN100K23L","https://psearch.en.murata.com/inductor/product/LQH32CN4R7M33%23.html","Murata LQH32CN Series Wire-wound SMD Inductor 4.7 uH +/-20% 650mA Idc","2.2","Murata Electronics","LQH32CN4R7M33L","LQH32CN4R7M33L","https://www.arrow.com/en/products/lqh32cn4r7m33l/murata-manufacturing","81-LQH32CN4R7M33L","https://www.mouser.co.uk/ProductDetail/Murata-Electronics/LQH32CN4R7M33L/?qs=Nd4APhAyBuHM6RzmYPrpQA%3D%3D"
"D2","MBR0520L","my_lib:SOD3816X128N","https://www.onsemi.com/pub/Collateral/MBR0520L-D.pdf","ON Semi MBR0520L SMT Schottky Diode, 20V 500mA, 2-Pin SOD-123","1.28","ON Semiconductor","MBR0520L","MBR0520L","https://www.arrow.com/en/products/mbr0520l/on-semiconductor","512-MBR0520L","https://www.mouser.co.uk/ProductDetail/ON-Semiconductor-Fairchild/MBR0520L?qs=k%252B6EXM6KU1OpKHv%2FZHvPIg%3D%3D"
"R1","MFR0W4F1001A50","my_lib:RESAD1680W62L680D250","https://4donline.ihs.com/images/VipMasterIC/IC/UNOD/UNODS00005/UNODS00005-1.pdf?hkey=EF798316E3902B6ED9A73243A3159BB0","Precision Metal Film Fixed Resistors","","UniOhm","MFR0W4F1001A50","","","",""
"R2","0603WAF1001T5E","my_lib:RESC1608X55N","https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0603WAF1001T5E_C21190.pdf","1k +/-1% 0.1W +/-100ppm/ 0603 Chip Resistor - Surface Mount","0.55","UNI-ROYAL(Uniroyal Elec)","0603WAF1001T5E","","","",""
"C3","CC0402JRNPO9BN220","my_lib:CAPC1005X55N","http://www.yageo.com/documents/recent/UPY-GP_NP0_16V-to-50V_16.pdf","YAGEO - CC0402JRNPO9BN220 - CAP, 22PF, 50V, 5%, C0G/NP0, 0402","0.55","YAGEO (PHYCOMP)","CC0402JRNPO9BN220","CC0402JRNPO9BN220","https://www.arrow.com/en/products/cc0402jrnpo9bn220/yageo","603-CC402JRNPO9BN220","https://www.mouser.co.uk/ProductDetail/Yageo/CC0402JRNPO9BN220?qs=AgBp2OyFlx9i3sVl6vpnFQ%3D%3D"
"C4","CL05A105KA5NQNC","my_lib:CAPC1005X60N","https://www.arrow.com/en/products/cl05a105ka5nqnc/samsung-electro-mechanics","Cap Ceramic 1uF 25V X5R 10% Pad SMD 0402 85C T/R","0.6","Samsung Electro-Mechanics","CL05A105KA5NQNC","CL05A105KA5NQNC","https://www.arrow.com/en/products/cl05a105ka5nqnc/samsung-electro-mechanics","187-CL05A105KA5NQNC","https://www.mouser.co.uk/ProductDetail/Samsung-Electro-Mechanics/CL05A105KA5NQNC?qs=X6jEic%2FHinDIeFgZnm60Lw%3D%3D"
"J2","WJ500V-5.08-3P","my_lib:SHDR3W95P0X508_1X3_1524X1000X1420P","https://datasheet.lcsc.com/szlcsc/Ningbo-Kangnex-Elec-WJ500V-5-08-3P-14-00A_C72334.pdf","P=5.08mm Screw terminal RoHS","14.2","Ningbo Kangnex","WJ500V-5.08-3P","","","",""
"C2","CL05A105KA5NQNC","my_lib:CAPC1005X60N","https://www.arrow.com/en/products/cl05a105ka5nqnc/samsung-electro-mechanics","Cap Ceramic 1uF 25V X5R 10% Pad SMD 0402 85C T/R","0.6","Samsung Electro-Mechanics","CL05A105KA5NQNC","CL05A105KA5NQNC","https://www.arrow.com/en/products/cl05a105ka5nqnc/samsung-electro-mechanics","187-CL05A105KA5NQNC","https://www.mouser.co.uk/ProductDetail/Samsung-Electro-Mechanics/CL05A105KA5NQNC?qs=X6jEic%2FHinDIeFgZnm60Lw%3D%3D"
"D3","MBR0520L","my_lib:SOD3816X128N","https://www.onsemi.com/pub/Collateral/MBR0520L-D.pdf","ON Semi MBR0520L SMT Schottky Diode, 20V 500mA, 2-Pin SOD-123","1.28","ON Semiconductor","MBR0520L","MBR0520L","https://www.arrow.com/en/products/mbr0520l/on-semiconductor","512-MBR0520L","https://www.mouser.co.uk/ProductDetail/ON-Semiconductor-Fairchild/MBR0520L?qs=k%252B6EXM6KU1OpKHv%2FZHvPIg%3D%3D"
"D1","MBR0520L","my_lib:SOD3816X128N","https://www.onsemi.com/pub/Collateral/MBR0520L-D.pdf","ON Semi MBR0520L SMT Schottky Diode, 20V 500mA, 2-Pin SOD-123","1.28","ON Semiconductor","MBR0520L","MBR0520L","https://www.arrow.com/en/products/mbr0520l/on-semiconductor","512-MBR0520L","https://www.mouser.co.uk/ProductDetail/ON-Semiconductor-Fairchild/MBR0520L?qs=k%252B6EXM6KU1OpKHv%2FZHvPIg%3D%3D"
"C5","CL05A105KA5NQNC","my_lib:CAPC1005X60N","https://www.arrow.com/en/products/cl05a105ka5nqnc/samsung-electro-mechanics","Cap Ceramic 1uF 25V X5R 10% Pad SMD 0402 85C T/R","0.6","Samsung Electro-Mechanics","CL05A105KA5NQNC","CL05A105KA5NQNC","https://www.arrow.com/en/products/cl05a105ka5nqnc/samsung-electro-mechanics","187-CL05A105KA5NQNC","https://www.mouser.co.uk/ProductDetail/Samsung-Electro-Mechanics/CL05A105KA5NQNC?qs=X6jEic%2FHinDIeFgZnm60Lw%3D%3D"
"IC1","TPS61040DBVR","my_lib:SOT95P280X145-5N","http://www.ti.com/lit/ds/symlink/tps61040.pdf","Switch Boost Converter 28V 400mA for LCD Texas Instruments TPS61040DBVR, Step Up DC-DC Converter, 550mA, Adjustable, 1.8 ??? 28 V, 5-Pin SOT-23","1.45","Texas Instruments","TPS61040DBVR","TPS61040DBVR","https://www.arrow.com/en/products/tps61040dbvr/texas-instruments","595-TPS61040DBVR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TPS61040DBVR?qs=Gse6rAGbi78IU3cZg2VK0g%3D%3D"
